Keywords,Search Volume (Average),Search Volume (Feb 2018),Search Volume (Mar 2018),Search Volume (Apr 2018),Search Volume (May 2018),Search Volume (Jun 2018),Search Volume (Jul 2018),Search Volume (Aug 2018),Search Volume (Sep 2018),Search Volume (Oct 2018),Search Volume (Nov 2018),Search Volume (Dec 2018),Search Volume (Jan 2019),Trend
oto chevrolet,1000,880,1300,1000,1000,880,1600,1300,880,1300,1300,880,390,-56
chevrolet corvette,1000,480,590,3600,880,720,720,880,1000,880,720,720,720,50
chevrolet vietnam,880,880,1000,1300,1300,1000,1000,1000,880,720,720,720,720,-18
chevrolet orlando 2018,880,590,1000,1900,1600,720,720,720,590,590,390,260,320,-46
xe chevrolet aveo,720,390,720,720,880,720,880,720,880,1600,880,590,480,23
xe chevrolet cũ,720,590,720,880,1300,880,390,590,590,880,590,1000,390,-34
chevrolet captiva 2018,720,880,1300,1600,1300,590,480,480,590,880,390,260,320,-64
chevrolet spark cũ,720,590,720,720,720,720,880,880,880,880,720,590,590,0
chevrolet cruze 2017,720,1900,1600,390,390,480,720,480,480,590,590,480,390,-79
xe chevrolet spark cũ,590,390,590,590,720,480,390,590,590,590,590,590,590,51
chevrolet spark duo,590,170,320,880,880,590,1900,390,1000,480,260,170,140,-18
chevrolet trax 2018,590,880,1300,1300,1000,480,320,320,260,320,210,170,110,-88
chevrolet can tho,480,320,590,590,720,720,480,390,390,590,590,390,390,22
chevrolet spark duo 2018,480,480,480,390,390,480,1300,320,720,480,390,260,170,-65
chevrolet spark van,480,390,720,720,480,480,590,480,480,480,480,390,390,0
chevrolet đà nẵng,480,320,390,390,390,390,480,320,480,590,590,720,320,0
chevrolet blazer 2019,480,,10,10,10,1300,590,390,1000,480,390,720,720,7100
chevrolet nam thai,480,260,320,480,390,590,880,880,720,480,480,390,210,-19
chevrolet 2018,390,320,390,480,480,480,590,390,320,390,260,210,140,-56
chevrolet captiva 2008,390,480,590,390,390,320,480,390,390,390,480,390,320,-33
chevrolet bán tải,390,170,210,390,390,320,390,480,480,480,480,480,390,129
chevrolet cruze 2015,390,390,480,390,320,320,390,320,320,320,390,390,480,23
chevrolet suburban,390,260,260,320,390,480,590,880,590,480,320,390,260,0
chevrolet thanh hóa,390,210,260,590,720,480,480,260,260,590,390,480,320,52
chevrolet spark ls 2018,320,110,140,880,720,140,390,320,480,320,260,170,140,27
chevrolet orlando 2017,320,590,880,390,170,260,480,320,170,140,140,140,140,-76
chevrolet orlando 2019,320,10,10,30,50,40,480,480,880,480,390,390,390,3800
chevrolet phú mỹ hưng,320,210,260,320,480,320,480,390,390,320,320,260,260,24
chevrolet orlando cũ,320,260,390,480,390,390,390,390,260,260,170,170,170,-35
chevrolet binh duong,320,210,260,320,320,390,390,480,390,390,390,320,170,-19
chevrolet 7 chỗ 2018,320,50,110,590,480,320,390,590,320,320,320,320,110,120
chevrolet cruze 2010,320,140,260,260,390,320,480,390,390,480,390,390,320,129
chevrolet giải phóng,320,210,320,390,480,320,480,390,480,260,140,170,140,-33
chevrolet gia lai,320,260,390,210,260,170,260,320,590,320,320,480,260,0
chevrolet blazer,320,10,10,30,70,720,480,720,480,260,210,390,260,2500
chevrolet vivant,320,320,480,390,320,320,260,260,320,390,260,320,390,22
chevrolet cruze 2016,320,260,320,210,320,320,320,320,320,260,320,320,320,23
chevrolet cruze 2011,320,260,480,320,320,320,390,320,320,320,260,260,210,-19
chevrolet hà nội,260,140,210,170,210,260,260,260,260,260,210,210,320,129
ô tô chevrolet cũ,260,210,210,140,480,480,170,70,480,320,140,70,260,24
chevrolet newway,260,170,320,390,320,260,210,260,260,260,260,260,260,53
chevrolet vinh,260,170,260,260,260,260,320,260,320,390,390,390,210,24
chevrolet đông đô thành,260,170,320,210,320,260,320,320,210,260,210,210,260,53
chevrolet spark 2009,260,140,320,320,260,210,390,320,260,260,260,320,260,86
chevrolet aveo 2017,260,390,480,320,210,170,260,170,210,260,320,260,210,-46
chevrolet aveo cũ,260,170,260,260,320,320,390,260,210,260,260,210,170,0
chevrolet trường chinh,260,210,210,140,390,320,320,260,260,260,140,110,170,-19
chevrolet spark 2019,210,20,10,720,90,90,110,260,260,260,390,210,320,1500
xe chevrolet orlando,210,260,170,170,260,390,390,140,140,210,140,90,110,-58
chevrolet 7 chỗ cũ,210,210,260,210,210,110,170,170,170,210,170,210,170,-19
xe chevrolet cruze 2017,210,260,170,140,260,260,260,110,50,210,170,210,210,-19
chevrolet tahoe,210,210,170,170,210,170,260,260,260,210,170,140,170,-19
chevrolet captiva 2009,210,110,170,210,260,210,210,260,170,210,210,170,170,55
chevrolet traverse 2018,210,140,480,140,260,210,210,170,210,170,170,110,90,-36
chevrolet cruze 2019,210,50,50,480,170,170,210,170,140,210,210,390,480,860
chevrolet aveo 2016,210,170,260,260,210,210,210,210,260,210,320,210,210,24
chevrolet silverado,210,260,170,210,210,170,170,260,210,140,210,260,260,0
chevrolet an thái,210,110,110,140,110,210,390,260,260,320,260,260,260,136
chevrolet spark lt 2018,210,170,210,210,170,210,320,260,260,320,320,140,110,-35
chevrolet spark 2017,210,390,390,320,210,140,110,110,110,140,110,110,110,-72
xe chevrolet captiva cũ,170,210,260,140,110,140,140,170,260,170,90,90,90,-57
chevrolet hà đông,170,140,140,170,260,170,170,170,260,170,140,140,140,0
chevrolet spark ls,170,170,170,170,110,140,390,210,210,170,140,110,70,-59
chevrolet sài gòn,170,70,140,170,260,110,170,210,260,210,170,170,140,100
chevrolet malibu,170,260,170,210,140,140,110,140,140,90,170,140,90,-65
chevrolet 4 chỗ,170,140,170,140,140,140,140,210,170,210,210,170,170,21
chevrolet mỹ đình,170,70,210,320,210,210,260,210,140,140,140,140,110,57
chevrolet hải phòng,170,110,110,140,260,260,170,210,140,170,140,210,110,0
chevrolet equinox,170,30,40,720,140,140,140,140,140,70,90,170,90,200
chevrolet spark 2016,170,140,170,140,110,140,170,140,170,170,210,140,140,0
chevrolet spark 2010,170,170,260,170,210,140,210,140,170,210,170,140,170,0
chevrolet aveo 2015,170,90,170,210,140,170,210,170,170,170,170,140,170,89
chevrolet impala,170,720,170,110,170,140,140,110,90,140,170,170,90,-88
chevrolet lacetti,170,140,210,140,170,140,210,170,170,140,140,170,140,0
xe chevrolet 7 chỗ 2018,170,70,70,170,390,210,260,320,170,140,90,90,140,100
xe chevrolet cruze cũ,140,110,210,170,170,90,170,110,110,210,140,110,90,-18
chevrolet suv,140,90,110,140,170,170,170,170,170,170,140,140,110,22
xe chevrolet bán tải,140,70,110,110,140,90,110,140,110,170,140,140,170,143
chevrolet đại việt,140,90,110,110,110,110,170,210,170,140,140,110,110,22
chevrolet vivant 2008,140,110,170,170,110,70,170,140,70,90,110,140,140,27
chevrolet van,140,90,140,110,210,140,140,90,110,140,110,90,140,56
chevrolet traverse,140,110,210,140,140,140,140,140,110,110,140,110,110,0
chevrolet aveo 2014,140,110,170,170,140,110,170,110,140,140,140,140,110,0
xe chevrolet cruze 2016,140,210,260,90,90,110,210,140,90,210,70,70,70,-67
ô tô chevrolet spark,140,90,90,140,90,110,170,110,70,50,90,210,320,256
chevrolet quận 12,140,50,70,40,90,70,50,110,90,320,320,170,210,320
chevrolet 5 chỗ,140,110,110,110,140,110,210,170,170,140,140,140,140,27
chevrolet bắc ninh,140,110,110,140,170,110,140,260,140,140,90,140,90,-18
oto chevrolet spark,140,90,90,140,90,110,170,110,70,50,90,210,320,256
chevrolet spark 5,140,90,90,110,110,140,140,140,140,170,170,210,140,56
ô tô chevrolet cruze,110,390,50,110,110,90,210,170,110,50,30,70,50,-87
oto chevrolet cruze,110,390,50,110,110,90,210,170,110,50,30,70,50,-87
chevrolet aveo lt,110,70,70,110,50,170,90,70,110,320,90,70,70,0
xe chevrolet camaro,110,70,110,140,170,110,140,110,70,110,140,90,110,57
chevrolet cruze 5,110,90,90,110,110,140,140,140,140,110,140,140,110,22
chevrolet spark lt,110,90,90,110,90,90,260,140,90,140,140,70,90,0
chevrolet usa,110,90,110,110,140,170,140,140,140,110,140,90,70,-22
chevrolet logo,110,70,140,110,110,110,140,140,70,110,110,110,110,57
chevrolet u.s.a,110,90,110,110,140,170,140,140,140,110,140,90,70,-22
xe chevrolet cruze 2012,110,70,170,140,110,70,140,70,90,110,90,90,70,0
chevrolet quảng ninh,110,90,90,110,110,90,170,110,110,90,70,140,90,0
chevrolet quảng trị,110,50,70,110,90,90,140,140,170,170,140,140,110,120
chevrolet colorado 2019,110,20,20,20,40,40,90,90,90,170,170,210,480,2300
chevrolet trax 2017,90,260,170,90,70,50,50,50,40,50,40,50,50,-81
chevrolet quận 7,90,10,30,30,30,20,30,40,30,170,390,170,70,600
chevrolet vung tau,90,70,110,110,140,140,110,90,70,90,70,70,70,0
chevrolet vivant 2009,90,50,70,90,70,50,70,90,70,110,90,140,140,180
chevrolet trax cũ,90,110,90,110,90,50,110,90,70,70,50,50,70,-36
xe chevrolet 4 chỗ,90,40,70,70,70,50,90,70,70,110,110,110,90,125
chevrolet trailblazer cũ,90,,,,30,70,70,110,110,140,260,210,170,467
chevrolet aveo 2012,90,50,110,90,110,90,90,110,70,90,40,70,50,0
chevrolet camaro 2019,90,10,10,110,30,40,40,40,70,70,110,210,260,2500
ô tô chevrolet 2018,90,30,90,90,170,70,170,110,20,30,50,110,30,0
chevrolet 2010,90,70,90,70,90,90,110,90,70,90,90,90,90,29
xe chevrolet cruze 2014,90,90,140,140,70,70,90,90,70,90,70,90,50,-44
ô tô chevrolet cruze 2018,90,40,90,170,140,50,30,170,210,40,30,50,110,175
oto chevrolet cruze 2018,90,40,90,170,140,50,30,170,210,40,30,50,110,175
xe chevrolet spark 2012,90,70,90,70,90,90,110,90,90,170,110,90,70,0
chevrolet spark 2015,90,90,90,90,90,90,110,110,110,90,90,110,110,22
xe chevrolet spark 2009,90,90,170,110,110,90,110,70,70,70,70,70,40,-56
ô tô chevrolet aveo,90,50,90,140,50,30,30,50,50,110,170,90,90,80
chevrolet 2019,90,10,10,70,20,50,70,90,110,90,140,210,260,2500
chevrolet giá,70,90,90,70,70,70,70,70,70,70,70,90,90,0
chevrolet 7 chỗ 2017,70,110,140,90,140,50,40,30,40,40,40,10,10,-91
chevrolet quận 2,70,20,20,10,20,20,30,30,30,140,320,90,50,150
chevrolet 2 chỗ,70,40,90,50,110,70,90,50,90,70,70,90,70,75
chevrolet thailand,70,30,70,110,70,110,90,50,50,50,50,50,50,67
chevrolet 2 cửa,70,70,70,90,90,70,70,70,90,70,70,70,50,-29
chevrolet volt,70,30,50,70,70,70,50,30,110,90,50,30,70,133
chevrolet tuyển dụng,70,30,70,70,50,70,90,70,90,90,70,70,50,67
chevrolet 2012,70,50,70,50,70,50,70,90,50,70,70,70,50,0
chevrolet bolt,70,170,40,50,50,70,110,40,50,70,70,40,30,-82
chevrolet biên hoà,70,20,70,110,70,50,50,70,50,70,50,50,70,250
chevrolet aveo ltz,70,50,70,90,50,50,70,50,170,140,70,50,40,-20
oto chevrolet spark 2010,70,50,40,50,50,50,40,110,110,70,90,50,50,0
chevrolet 2016,70,70,70,70,90,70,70,110,70,90,90,70,90,29
ô tô chevrolet spark cũ,70,70,140,50,40,50,90,50,110,90,70,30,50,-29
ô tô chevrolet spark 2018,70,110,20,90,170,110,20,110,70,170,50,20,30,-73
chevrolet aveo 2013,70,70,110,70,70,50,90,70,40,50,90,50,70,0
oto chevrolet spark 2018,70,110,20,90,170,110,20,110,70,170,50,20,30,-73
chevrolet 2017,70,140,90,90,50,70,90,70,50,70,70,90,70,-50
chevrolet aveo 5,70,50,50,70,50,70,110,90,70,90,90,90,90,80
chevrolet lâm đồng,50,30,210,70,50,20,70,70,30,50,20,40,10,-67
chevrolet duo 2018,50,70,50,40,50,50,90,50,90,70,30,20,10,-86
chevrolet 7 chỗ 2008,50,50,70,40,90,90,40,50,50,90,50,30,30,-40
camaro chevrolet,50,30,30,30,50,40,70,40,50,50,50,40,70,133
chevrolet lacetti 2012,50,30,50,30,50,40,40,70,90,70,40,50,70,133
chevrolet thể thao,50,30,50,50,70,70,70,30,70,40,30,40,50,67
chevrolet orlando máy dầu,50,70,70,140,90,50,70,30,20,30,30,20,10,-86
ô tô chevrolet 7 chỗ,50,30,30,50,40,70,20,40,40,50,30,30,90,200
chevrolet huế,50,20,40,40,50,50,70,70,50,70,50,90,70,250
xe chevrolet 2 chỗ,50,50,40,50,70,40,50,70,40,50,50,50,50,0
chevrolet 2015,50,50,50,70,70,50,70,50,70,50,70,70,50,0
ô tô chevrolet trailblazer,50,,,50,90,70,50,110,90,110,30,30,10,-80
xe chevrolet trailblazer 2019,50,,,,,,,,20,320,70,30,260,1200
chevrolet hải dương,50,40,30,50,110,70,70,40,50,70,50,30,40,0
chevrolet dạ nam,50,30,50,40,70,50,50,50,50,70,40,40,50,67
chevrolet nam thái bình dương,50,10,30,40,40,70,70,70,50,50,50,50,30,200
chevrolet 2009,50,40,50,70,50,50,70,50,50,70,50,50,70,75
chevrolet kodiak,50,10,10,10,10,10,90,10,390,50,10,70,20,100
chevrolet orlando 2012,50,40,70,40,30,30,40,90,50,70,50,90,70,75
chevrolet 2014,50,30,40,50,70,40,70,50,40,40,70,70,50,67
chevrolet ltz,50,50,50,50,50,50,70,70,70,70,30,50,50,0
chevrolet impala 1967,50,50,50,50,50,70,70,40,30,40,50,50,40,-20
chevrolet 2011,50,30,70,50,50,40,50,70,40,40,50,40,30,0
chevrolet matiz,40,70,40,30,40,30,40,20,30,40,30,40,30,-57
chevrolet bà rịa,40,30,50,30,30,50,50,50,40,50,40,50,40,33
chevrolet aveo lt 2018,40,10,10,30,20,30,30,40,70,140,40,50,20,100
chevrolet malibu 2018,40,70,40,50,40,40,30,40,40,30,40,20,20,-71
chevrolet mui trần,40,30,40,50,50,40,40,40,50,50,50,30,20,-33
chevrolet orlando 2016,40,90,70,50,40,40,30,30,20,20,40,50,30,-67
chevrolet nam định,40,30,20,30,20,20,90,50,30,70,50,40,30,0
xe chevrolet 2019,40,,,,,,30,30,50,70,90,110,90,200
chevrolet uplander,40,40,50,50,50,30,50,50,40,40,30,30,40,0
chevrolet discovery,40,30,10,70,40,40,70,30,30,20,20,30,30,0
chevrolet đà lạt,40,30,30,30,40,40,40,40,30,30,40,40,40,33
chevrolet quận 8,40,20,30,40,30,30,20,30,40,40,70,40,40,100
chevrolet outlander,40,40,50,50,50,30,50,50,40,40,30,30,40,0
chevrolet 7 chỗ máy dầu,40,,,,30,20,90,90,40,70,50,30,20,-33
chevrolet bán tải 2017,40,90,110,30,30,30,50,40,20,10,10,30,40,-56
chevrolet bắc giang,40,30,20,30,20,40,70,50,40,30,40,40,30,0
ô tô chevrolet trax,40,50,70,50,140,90,30,20,10,40,10,10,10,-80
chevrolet 2008,40,30,50,40,50,40,50,50,30,30,30,30,30,0
chevrolet nam hải,40,30,50,40,50,50,40,30,50,70,40,40,30,0
chevrolet lt,40,30,30,30,40,30,50,30,40,50,40,40,30,0
ô tô chevrolet spark 2017,40,70,210,70,10,20,40,10,30,30,50,10,10,-86
chevrolet 2013,40,30,70,50,50,40,40,40,40,50,50,30,40,33
chevrolet ltz 2018,30,40,40,30,30,20,20,30,30,50,70,20,20,-50
chevrolet gentra,30,30,40,20,40,30,30,10,20,30,40,30,20,-33
chevrolet lacetti 2014,30,20,20,20,30,20,40,50,30,20,10,30,20,0
chevrolet orlando 2013,30,30,70,70,40,20,30,10,30,20,30,30,20,-33
oto chevrolet aveo 2018,30,,,,,30,20,50,70,90,20,10,10,-67
chevrolet bảng giá,30,30,30,30,30,30,30,20,20,20,30,30,30,0
chevrolet orlando ltz,30,40,30,20,30,40,50,30,20,20,20,20,20,-50
chevrolet bình định,30,30,20,20,40,30,40,50,30,40,40,30,40,33
chevrolet hcm,30,10,40,30,30,30,30,20,20,50,50,40,20,100
chevrolet máy dầu,30,20,20,30,40,30,40,30,40,30,30,30,20,0
chevrolet orlando 2015,30,70,40,70,70,40,30,30,20,20,20,10,10,-86
chevrolet đồng nai,30,20,50,20,30,30,30,40,40,30,30,30,30,50
chevrolet nhập khẩu,30,10,40,30,30,30,20,40,70,40,20,10,20,100
chevrolet aveo 2011,30,30,50,30,30,30,30,30,30,30,40,30,10,-67
chevrolet yên lãng,30,20,10,30,40,30,30,30,40,20,30,30,30,50
chevrolet nghệ an,30,20,30,30,50,30,30,20,30,40,20,30,20,0
chevrolet ls,30,20,30,30,50,10,40,20,30,30,30,20,20,0
chevrolet tân phú,30,10,20,10,20,10,30,70,70,50,30,40,10,0
chevrolet tphcm,30,40,30,30,20,10,30,30,30,40,40,30,20,-50
chevrolet trailblazer độ,30,,,,,40,20,30,40,30,70,50,40,0
chevrolet duo,30,30,50,50,30,10,30,10,20,40,50,30,20,-33
chevrolet impala 2018,30,20,10,30,40,20,10,20,30,30,40,30,20,0
chevrolet hatchback,30,20,30,30,30,40,50,20,10,10,30,20,10,-50
chevrolet high country 2018,30,10,10,20,50,50,50,30,40,30,30,20,20,100
xe chevrolet van,30,30,30,30,30,40,30,30,30,30,30,70,30,0
chevrolet aveo 2019,30,10,10,10,10,10,10,40,20,40,50,30,90,800
ô tô chevrolet 4 chỗ,30,10,10,10,20,50,40,10,10,20,10,20,90,800
ô tô chevrolet cruze cũ,30,10,30,30,10,50,70,30,10,30,20,10,10,0
chevrolet aveo độ,30,20,30,40,30,40,30,30,30,50,50,20,30,50
chevrolet aveo 2010,20,20,30,20,10,10,20,30,20,50,30,10,30,50
chevrolet an giang,20,20,40,20,20,10,20,20,30,30,30,20,20,0
chevrolet indonesia,20,10,10,10,10,10,20,10,10,20,20,20,10,0
chevrolet impala 2017,20,140,50,10,10,10,10,10,10,10,10,,10,-93
chevrolet aveo giá lăn bánh,20,,,,,,30,10,30,40,40,20,20,-33
chevrolet orlando đánh giá,20,30,40,40,40,40,20,20,10,20,10,10,10,-67
chevrolet orlando 2014,20,20,30,20,10,10,20,20,20,30,20,30,30,50
chevrolet lacetti 2010,20,10,10,10,20,10,10,20,40,10,20,30,10,0
chevrolet quy nhơn,20,10,20,10,30,30,10,10,20,30,30,10,50,400
chevrolet orlando 7 chỗ,20,10,30,40,30,20,20,30,10,10,10,10,10,0
chevrolet là gì,20,20,20,20,10,20,10,20,20,10,10,10,10,-50
chevrolet lt 2018,20,10,10,20,10,20,10,40,30,20,20,10,10,0
chevrolet lacetti 2017,20,30,40,30,20,10,20,20,20,10,20,20,10,-67
chevrolet tân bình,20,10,10,10,10,20,10,20,40,50,20,10,10,0
chevrolet orlando giá,20,10,20,20,30,20,20,20,10,10,10,20,10,0
oto chevrolet aveo 2017,20,40,20,50,20,10,30,30,20,10,10,10,10,-75
chevrolet mới,20,10,10,30,40,20,20,20,20,20,20,20,20,100
chevrolet kinh dương vương,20,10,10,10,20,30,20,20,40,20,30,10,30,200
chevrolet y daewoo,20,10,20,20,20,30,10,30,30,10,20,10,10,0
chevrolet phú mỹ hưng tuyển dụng,20,10,20,10,10,30,20,20,20,20,10,10,10,0
chevrolet philippines,20,20,10,20,20,20,30,20,10,20,10,10,10,-50
chevrolet newway tuyển dụng,20,10,10,30,30,20,20,20,10,10,20,10,10,0
chevrolet duramax,20,30,20,20,40,30,20,10,10,30,20,10,20,-33
ô tô chevrolet orlando,20,10,10,40,40,20,30,10,10,10,10,10,10,0
chevrolet vạn hạnh,20,10,10,10,10,20,20,30,20,40,10,20,30,200
chevrolet parts,20,10,10,10,10,10,10,10,20,20,30,30,20,100
chevrolet vivant 2015,20,20,50,30,20,20,30,10,20,10,10,20,20,0
chevrolet vivant 2011,20,10,20,10,40,20,10,20,10,30,20,10,20,100
chevrolet đông đô thành tuyển dụng,20,10,30,20,30,20,40,50,20,20,20,20,10,0
chevrolet vĩnh phúc,20,30,20,20,10,20,20,50,30,30,20,20,10,-67
chevrolet mua lại daewoo,20,20,30,20,20,20,20,20,30,30,20,10,10,-50
chevrolet 2011 spark,20,10,10,10,20,20,30,30,10,20,20,10,20,100
chevrolet 7 chỗ 2009,20,20,30,30,20,10,30,10,10,20,20,10,20,0
chevrolet quảng bình,20,30,10,20,10,10,20,30,20,20,20,20,10,-67
chevrolet đăk lăk,20,,,,40,20,20,10,20,70,50,30,40,0
chevrolet giảm giá,20,20,20,20,10,30,30,20,20,10,10,10,10,-50
chevrolet 4 chỗ cũ,20,10,10,10,30,20,30,50,20,20,20,10,20,100
chevrolet mustang,20,10,20,10,20,20,10,20,20,20,20,20,30,200
chevrolet malibu 2019,20,10,,30,10,10,10,10,30,10,50,70,40,300
chevrolet pickup,20,10,10,10,20,10,20,20,20,10,20,20,20,100
chevrolet bình tân,20,10,20,10,20,20,20,20,30,20,70,10,20,100
chevrolet lacetti 2013,20,20,20,30,20,10,50,20,10,20,10,30,30,50
chevrolet 2007,20,10,20,20,30,30,20,10,20,30,20,10,30,200
chevrolet korea,20,30,30,20,30,20,10,20,10,10,20,10,10,-67
chevrolet mylink,20,20,30,20,30,20,20,20,30,20,20,20,10,-50
chevrolet phú mỹ hưng quận 7 hồ chí minh,20,,30,20,10,10,10,10,10,20,10,10,10,-67
chevrolet newway hoài đức,20,10,10,10,30,30,10,10,20,20,30,20,20,100
chevrolet độ,20,20,20,20,30,20,20,20,30,30,10,20,20,0
chevrolet go vap,20,20,40,40,30,30,20,20,20,30,20,10,10,-50
chevrolet nam thai binh duong tuyen dung,20,10,30,30,30,30,30,10,20,10,20,10,10,0
chevrolet 4 chỗ 2017,10,40,40,20,10,10,10,10,10,10,10,10,20,-50
chevrolet 4 spark,10,,,,,,,,10,,,,,-100
ô tô chevrolet của nước nào,10,10,10,10,10,10,10,10,10,10,10,10,10,0
ô tô chevrolet captiva,10,20,30,20,10,10,10,10,20,20,30,10,10,-50
chevrolet 59,10,,,,,,,,,,,10,,-100
chevrolet 66,10,,,,,,,,10,10,,10,,-100
chevrolet blazer 2019 thailand,10,,,,,,,,,,10,10,10,0
honda,201000,165000,246000,201000,201000,201000,201000,201000,201000,246000,246000,246000,246000,49
xe honda,49500,40500,60500,60500,60500,49500,60500,49500,40500,33100,33100,27100,22200,-45
giá xe honda,40500,33100,40500,40500,40500,40500,40500,40500,40500,40500,27100,40500,33100,0
honda city,33100,27100,40500,33100,33100,33100,40500,33100,33100,33100,33100,33100,33100,22
honda civic,27100,18100,27100,22200,22200,22200,33100,33100,27100,33100,27100,27100,27100,50
honda viet nam,18100,18100,33100,22200,14800,18100,22200,18100,22200,18100,14800,18100,18100,0
honor 9 lite,18100,1300,74000,27100,18100,18100,14800,12100,9900,9900,8100,6600,5400,315
honda jazz,18100,4400,49500,27100,22200,14800,14800,14800,14800,14800,12100,9900,8100,84
honda civic 2018,14800,9900,22200,14800,22200,14800,27100,27100,9900,8100,6600,8100,5400,-45
honda crv 2018,12100,9900,27100,18100,14800,12100,12100,12100,9900,6600,5400,8100,5400,-45
honda vision,12100,12100,14800,12100,9900,9900,12100,12100,12100,14800,12100,14800,12100,0
honda c r v 2018,12100,9900,27100,18100,14800,12100,12100,12100,9900,6600,5400,8100,5400,-45
honda cr v 2018,12100,9900,27100,18100,14800,12100,12100,12100,9900,6600,5400,8100,5400,-45
honda cr-v,9900,6600,14800,12100,12100,9900,9900,9900,9900,9900,9900,12100,12100,83
honda crv,9900,6600,14800,12100,12100,9900,9900,9900,9900,9900,9900,12100,12100,83
honda winner,9900,14800,14800,12100,9900,8100,9900,9900,9900,9900,8100,9900,9900,-33
honda v r b,8100,880,880,720,1300,6600,12100,9900,12100,14800,14800,14800,9900,1025
honda hrv,8100,880,880,720,1300,6600,12100,9900,12100,14800,14800,14800,9900,1025
honda vision 2018,8100,6600,8100,8100,8100,8100,9900,9900,9900,9900,5400,4400,3600,-45
honda hr-v,8100,880,880,720,1300,6600,12100,9900,12100,14800,14800,14800,9900,1025
honda sonic,6600,5400,8100,6600,6600,4400,5400,6600,8100,8100,8100,8100,6600,22
honda rebel 300,6600,8100,18100,12100,6600,3600,3600,4400,4400,5400,4400,5400,9900,22
honda lead,5400,3600,5400,4400,4400,4400,6600,5400,5400,5400,5400,5400,5400,50
honda lead 2018,5400,5400,8100,6600,5400,5400,8100,5400,6600,5400,3600,3600,2400,-56
honda blade,5400,5400,6600,5400,5400,5400,6600,6600,6600,5400,5400,5400,6600,22
honda brio,5400,90,140,260,170,110,590,1300,880,18100,12100,18100,12100,13344
honda vario,5400,4400,5400,6600,6600,4400,4400,4400,4400,4400,6600,6600,8100,84
honda air blade,5400,4400,8100,5400,2900,2900,6600,5400,4400,5400,6600,5400,4400,0
moto honda,5400,4400,5400,4400,5400,4400,5400,4400,5400,5400,5400,6600,6600,50
honda accord,4400,2900,5400,5400,5400,3600,3600,5400,4400,4400,3600,4400,4400,52
honda cb150r,4400,3600,4400,3600,3600,3600,3600,4400,4400,4400,4400,4400,3600,0
honda air blade 2018,4400,6600,6600,5400,6600,4400,4400,4400,6600,4400,2900,2400,3600,-45
honda accord 2018,4400,4400,8100,4400,3600,4400,6600,4400,2400,2400,3600,2400,1000,-77
honda msx,4400,4400,5400,5400,5400,4400,4400,4400,3600,4400,4400,5400,5400,23
honda wave,3600,2900,3600,2900,2900,2400,3600,3600,3600,3600,4400,3600,3600,24
honda sh,3600,3600,4400,3600,3600,2900,3600,5400,3600,3600,4400,4400,3600,0
xe honda city,3600,2900,4400,4400,3600,4400,4400,4400,3600,2900,3600,3600,2400,-17
xe moto honda,3600,1900,3600,5400,5400,2900,2400,4400,4400,4400,4400,4400,2900,53
honda motor,3600,2900,4400,3600,5400,4400,4400,4400,2400,3600,3600,3600,3600,24
honda click,2900,2900,3600,3600,3600,2400,2400,2900,2900,2900,2900,2900,2900,0
honda keisuke,2900,390,480,390,590,12100,5400,1000,720,720,3600,1600,8100,1977
honda vision 2019,2900,,40,70,70,110,210,390,1600,14800,8100,6600,6600,16400
honda head,2900,2400,3600,2900,2900,2400,2900,2900,2900,2900,2900,3600,4400,83
honda cbr 150,2900,3600,3600,2900,2900,2400,2900,2400,2900,3600,3600,2900,2400,-33
honda city 2019,2900,590,390,590,590,720,1900,2900,2900,4400,4400,8100,9900,1578
honda sh mode,2400,1900,2900,2400,1900,1600,1900,2400,1900,2400,2400,2400,1900,0
honda blade 2018,2400,2400,3600,3600,2900,2400,2900,2400,1900,1900,1600,1000,720,-70
honda oto,2400,1900,3600,2900,2900,1900,2400,2400,2400,2400,2400,1900,1900,0
honda vario 150,2400,1300,1900,2900,2400,1600,2900,3600,2900,2400,2400,1900,3600,177
honda phat tien,2400,1600,2900,1900,2400,2400,2400,2900,2400,2900,2400,2400,2400,50
honda civic 2019,2400,50,110,210,260,210,480,1300,2400,5400,5400,5400,8100,16100
honda winner 2018,2400,5400,5400,2900,2900,2900,2900,1600,1300,1900,1900,1600,390,-93
honda cg125,2400,2400,3600,2900,2900,2400,2400,2900,2400,2400,2400,2400,1900,-21
honda 67,2400,2400,3600,2900,2900,2400,2400,2400,2400,2900,2400,1900,1900,-21
honda rebel,2400,1600,6600,2400,1900,1300,1300,1600,1900,1900,1900,1900,2400,50
honda cb400,2400,2400,2900,2900,2900,1900,2400,2400,2400,2400,2400,2400,1900,-21
honda moto,2400,880,1300,1300,2900,1600,1600,1900,3600,3600,3600,3600,2900,230
honda monkey,1900,320,590,720,720,590,590,1000,880,3600,6600,4400,3600,1025
honda cbr250rr,1900,1300,1600,1900,1900,1600,1900,1900,1900,1900,1900,2400,2400,85
honda brv,1900,260,1900,720,1600,1600,1600,2900,2400,1900,1000,3600,1900,631
honda rsx,1900,1600,1900,1600,1600,1600,1900,1900,1900,1900,1900,1900,1900,19
honda p c x,1900,1900,2400,1900,1600,1600,1900,1900,2400,2400,2400,1900,1900,0
honda pcx,1900,1900,2400,1900,1600,1600,1900,1900,2400,2400,2400,1900,1900,0
